packet_id,src_cn_node,dst_cn_node,time_s,distance_m,rx_power_dbm,path_loss_db,delay_ms,delivered,drop_reason,scenario_id,truth_boundary
NS3_PKT_000074,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000075,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000076,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000077,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000078,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000079,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000080,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000081,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000082,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000083,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000084,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000085,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000086,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000087,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000088,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000089,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000090,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000091,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000092,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000093,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000094,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000095,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000096,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000097,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000098,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000099,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000100,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000101,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000102,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000103,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000104,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000105,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000106,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000107,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000108,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000109,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000110,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000111,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000112,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000113,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000114,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000115,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000116,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000117,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000118,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000119,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000120,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000121,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000122,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000123,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000124,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000125,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000126,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000127,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000128,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000129,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000130,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000131,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000132,CN_001,CN_028,1800.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000133,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000134,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000135,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000136,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000137,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000138,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000139,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000140,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000141,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000142,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000143,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000144,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000145,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000146,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000147,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000148,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000149,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000150,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D2_delegated_packet,ns3_log_distance_rf_replay_not_mac_or_interference_validation
